,ticker,Market Cap (intraday) 5,Enterprise Value 3,Trailing P/E ,Forward P/E 1,PEG Ratio (5 yr expected) 1,Price/Sales (ttm),Price/Book (mrq),Enterprise Value/Revenue 3,Enterprise Value/EBITDA 6,Beta (5Y Monthly) ,52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float ,% Held by Insiders 1,% Held by Institutions 1,Shares Short  4,Short Ratio  4,Short % of Float  4,Short % of Shares Outstanding  4,Shares Short (prior month ) 4,Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends ,Most Recent Quarter (mrq),Profit Margin ,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA ,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ScrapedName,Sector
36,ALB.MC,2.47B,16.57,N/A,N/A,11.79,0.60,11.88,16.81,0.62,-4.45%,11.97%,49.95,41.10,46.45,46.18,11.75k,22.25k,58.24M,16.35M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,2.39%,1.00,2.39%,2.13,39.37%,N/A,"Oct 25, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",71.38%,63.68%,1.88%,3.67%,207.9M,3.56,-16.60%,229.3M,146.92M,148.4M,2.54,-6.90%,260M,4.41,139M,3.26,11.03,70.33,N/A,N/A,,CORPORACION FINANCIERA ALBA S.A (ALB.MC),Financial Services
37,BME.MC,2.62B,22.72,N/A,N/A,9.67,7.15,8.79,15.45,0.66,37.97%,11.97%,36.00,20.50,34.80,29.25,236.33k,155.08k,83.01M,72.43M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.17,6.23%,1.57,4.52%,6.95,102.61%,N/A,"Dec 24, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",42.63%,55.79%,0.78%,30.29%,298.45M,3.61,-0.70%,263.5M,169.79M,127.23M,1.53,-0.90%,294.95M,3.55,25.9M,6.41,1.02,4.86,116.6M,108.3M,,BOLSAS Y MERCADOS ESPANOLES SOC (BME.MC),Financial Services
38,VID.MC,2.87B,18.97,N/A,N/A,2.43,3.66,2.89,11.65,0.51,10.61%,11.97%,100.00,75.70,96.18,85.78,14.83k,8.78k,27.03M,15.43M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.13,1.25%,0.27,0.30%,1.30,21.31%,N/A,"Feb 12, 2020",N/A,N/A,"Dec 31, 2018","Jun 30, 2019",12.90%,15.88%,6.81%,20.56%,993.35M,36.48,5.50%,641.32M,246M,128.18M,4.71,22.10%,22.2M,0.82,424.27M,63.95,1.39,24.41,214.32M,67.97M,,VIDRALA S.A. (VID.MC),Consumer Cyclical
39,RIO.MC,44.68M,N/A,N/A,N/A,0.97,0.93,2.29,67.24,0.14,-22.62%,11.97%,5.3500,3.8600,4.3217,4.4852,1.29k,904,4.82M,2.69M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.14,3.38%,N/A,0.00%,N/A,"Jul 14, 2017",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",-2.07%,-3.03%,N/A,N/A,19.55M,4.06,6.70%,9.76M,664.5k,-405k,-0.0840,44.00%,102k,0.02,24.7M,121.39,N/A,4.19,N/A,N/A,,BODEGAS RIOJANAS S.A. (RIO.MC),Consumer Defensive
40,ENC.MC,1.39B,14.32,6.44,0.43,1.01,1.25,1.73,7.61,1.12,-50.09%,11.97%,6.8500,3.0420,3.7273,3.5897,1.91M,2.04M,241.87M,159.2M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.31,9.28%,0.10,3.10%,N/A,95.45%,N/A,"Sep 17, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",8.16%,12.14%,3.84%,10.02%,799.38M,3.22,-8.40%,517.72M,182.14M,65.23M,0.2340,-93.00%,206.7M,0.82,736.8M,108.53,1.21,2.69,173.26M,-96.85M,,ENCE ENERGIA Y CELULOSA S.A. (ENC.MC),Basic Materials
41,IBG.MC,172.05M,10.60,N/A,N/A,1.19,0.99,0.77,4.42,0.61,-21.90%,11.97%,32.00,23.80,25.16,25.69,5.12k,940,11.03M,9.06M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8,3.25%,0.30,1.24%,2.47,30.06%,N/A,"Dec 18, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",11.13%,12.64%,4.70%,9.74%,221.98M,20.34,-11.90%,139.36M,38.96M,24.71M,2.26,-17.30%,169.77M,15.55,73.28M,27.56,4.87,24.36,N/A,N/A,,IBERPAPEL GESTION S.A. (IBG.MC),Basic Materials
42,VOC.MC,266.16M,12.44,N/A,N/A,0.35,0.64,0.68,6.63,0.83,-17.76%,11.97%,1.5500,1.0800,1.1806,1.2200,42.69k,237.92k,120.74M,62.32M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.03,2.86%,0.03,2.84%,N/A,44.75%,N/A,"May 08, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",2.20%,7.74%,4.11%,5.97%,391.96M,3.18,4.60%,210.66M,40.15M,8.62M,0.0900,N/A,24.21M,0.2,88.46M,32.71,0.83,1.75,33.76M,16.93M,,VOCENTO (VOC.MC),Communication Services
43,TEF.MC,89.27B,34.82,7.13,0.38,0.62,1.75,1.81,6.99,0.96,-23.38%,11.97%,7.90,5.70,6.20,6.55,31.7M,24.86M,5.19B,5.1B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4,6.87%,0.40,6.87%,6.34,235.29%,N/A,"Dec 17, 2019",N/A,N/A,"Dec 31, 2019","Dec 31, 2019",2.32%,10.90%,2.88%,6.35%,49.31B,9.63,-3.80%,29.46B,12.77B,860M,0.17,N/A,8.43B,1.65,59.59B,234.15,0.81,3.35,15.02B,3.72B,,TELEFONICA S.A. (TEF.MC),Sector
44,AMP.MC,272.85M,6.27,N/A,N/A,1.57,4.76,1.56,11.08,1.29,-8.86%,11.97%,0.3040,0.2360,0.2747,0.2709,3.7M,1.89M,1.07B,963.97M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jul 01, 2009",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",25.23%,11.67%,7.41%,40.22%,174.61M,0.16,19.00%,84.94M,24.62M,18.96M,0.0410,118.90%,9.66M,0.01,14.81M,25.48,1.26,0.05,N/A,N/A,,AMPER S.A. (AMP.MC),Sector
45,CBAV.MC,257.67M,17.59,N/A,N/A,1.74,7.30,2.16,11.17,0.42,-5.49%,11.97%,14.85,11.95,13.28,13.60,2.19k,1.43k,16.3M,1.65M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.58,4.50%,0.58,4.50%,3.78,75.72%,N/A,"Jun 11, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",10.41%,14.81%,14.55%,48.50%,119.26M,6.70,17.60%,55.04M,23.07M,12.41M,0.73,32.00%,7.88M,0.48,55.05M,207.42,0.70,1.75,22.94M,13.84M,,CLINICA BAVIERA S.A. (CBAV.MC),Healthcare
46,GAM.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
47,AMS.MC,32.13B,25.28,24.00,4.99,5.03,7.14,5.85,14.56,0.69,-7.53%,11.97%,78.82,61.72,74.04,70.13,1.53M,1.08M,431.02M,430.74M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.23,1.82%,0.67,1.03%,1.73,46.26%,N/A,"Jan 15, 2020",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",19.92%,27.95%,9.35%,30.89%,5.49B,12.73,16.30%,2.34B,2.21B,1.09B,2.54,16.60%,572.1M,1.33,3.77B,97.29,0.61,8.98,1.77B,670.11M,,AMADEUS IT GROUP S.A. (AMS.MC),Technology
48,EDR.MC,847.54M,13.35,N/A,N/A,0.82,1.08,1.48,7.80,1.89,61.63%,11.97%,5.4600,2.4550,4.8714,4.2374,108.78k,142.12k,110.14M,57.82M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Mar 31, 2019","Sep 30, 2019",6.61%,17.13%,5.00%,9.17%,573.46M,5.23,8.40%,470.69M,108.61M,37.92M,0.3190,N/A,91.39M,0.83,431.54M,99.68,0.54,3.93,101.71M,47.27M,,EDREAMS ODIGEO S.A. (EDR.MC),Consumer Cyclical
49,NAT.MC,Consumer Cyclical,MCE,"AMREST HOLDINGS, S.E.",Consumer Cyclical,MCE,NAT.MC,N/A,MCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S M F ETF I F Y F,
50,R4.MC,-871.64M,15.22,N/A,N/A,1.79,2.62,-5.77,N/A,0.30,-13.35%,11.97%,7.78,6.32,6.78,6.77,4.97k,3.94k,40.58M,13.54M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4,6.04%,0.28,4.23%,3.54,75.04%,N/A,"Nov 21, 2019",11:10,"Jul 18, 2012","Dec 31, 2019","Dec 31, 2019",11.80%,13.92%,1.13%,17.49%,151.12M,3.72,18.70%,86.68M,N/A,17.83M,0.44,38.70%,1.17B,28.87,30.74M,29.49,1.16,2.55,244.85M,N/A,,RENTA BANCO S.A. (R .MC),Financial Services
51,REP.MC,28.09B,N/A,7.14,-65.50,0.40,0.65,0.66,8.81,1.12,-27.53%,11.97%,15.66,10.73,13.09,13.88,7.84M,12.84M,1.57B,1.35B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.93,8.47%,1.01,9.21%,6.18,N/A,N/A,"Dec 17, 2019",2:1,"Dec 18, 2017","Dec 31, 2019","Dec 31, 2019",-8.98%,2.60%,1.16%,-13.50%,42.48B,27.44,-21.10%,11.38B,3.19B,-3.84B,-2.48,N/A,5.95B,4,17.47B,69.29,1.09,16.78,4.85B,-222.88M,,REPSOL S.A. (REP.MC),Energy
52,GSJ.MC,368.76M,27.89,N/A,N/A,0.40,3.53,0.39,13.63,0.79,-4.92%,11.97%,9.33,5.40,6.16,6.73,103.08k,81.95k,65.03M,22.15M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 31, 2018","Sep 30, 2019",1.44%,2.49%,1.48%,17.17%,936.69M,14.40,37.80%,252.32M,27.06M,13.47M,0.20,-53.70%,308.31M,4.74,273.33M,208.19,1.27,1.61,N/A,N/A,,GRUPO EMPRESARIAL SAN JOSE S.A (GSJ.MC),Industrials
53,SLR.MC,1.28B,65.59,N/A,N/A,28.62,5.99,33.05,43.22,1.55,62.32%,11.97%,10.25,4.00,8.42,6.82,612.86k,1.13M,124.95M,61.01M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Oct 03, 2011",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",43.53%,36.67%,1.94%,9.50%,38.66M,0.31,-4.90%,35.8M,29.56M,16.83M,0.14,-42.20%,108.9M,0.87,283.11M,153.26,2.88,1.48,N/A,N/A,,SOLARIA ENERGIA Y MEDIO AMBIENT (SLR.MC),Utilities
54,ISUR.MC,345.19M,43.39,N/A,N/A,1.31,1.63,2.77,29.12,0.49,-0.61%,11.97%,11.85,9.32,10.50,10.11,3.84k,1.25k,16.84M,8.29M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.34,3.46%,0.15,1.52%,1.35,46.55%,N/A,"Jan 13, 2020",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",3.03%,7.19%,N/A,3.79%,124.62M,7.40,-24.00%,32.37M,11.85M,3.77M,0.22,N/A,36.6M,2.17,216.1M,215.88,N/A,5.95,N/A,N/A,,INMOBILIARIA DEL SUR S.A. (ISUR.MC),Real Estate
55,NHH.MC,4.25B,16.35,20.00,0.85,1.21,1.40,2.53,12.58,1.31,-0.34%,11.97%,5.34,4.05,5.14,4.63,49.84k,28.47k,391.8M,22.38M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15,2.91%,0.15,3.21%,N/A,60.25%,N/A,"Jun 12, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",5.37%,13.75%,4.08%,7.07%,1.68B,4.36,7.70%,1.07B,337.95M,90.58M,0.32,-10.70%,267.96M,0.68,2.56B,204.76,0.80,3.71,442.9M,154.96M,,NH HOTEL GROUP S.A. (NHH.MC),Sector
56,LOG.MC,1.15B,15.08,N/A,N/A,0.24,4.54,0.11,4.19,0.34,-13.43%,11.97%,22.42,16.87,20.45,19.44,123.89k,116.68k,132.1M,66.02M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.14,5.74%,1.18,6.10%,4.47,91.20%,N/A,"Aug 27, 2019",N/A,N/A,"Sep 30, 2019","Dec 31, 2019",1.60%,1.90%,1.84%,30.08%,10.33B,78.16,7.50%,635.14M,274.18M,165.83M,1.25,3.30%,1.56B,11.76,70M,12.59,0.86,4.17,N/A,N/A,,COMPANIA DE DISTRIBUCION INTEGR (LOG.MC),Sector
57,GCO.MC,2.64B,8.97,N/A,N/A,0.85,1.00,0.65,5.04,N/A,-8.20%,11.97%,34.60,28.10,30.63,31.08,35.92k,42.19k,117.88M,40.88M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.85,2.90%,0.37,1.27%,2.30,30.56%,N/A,"Feb 10, 2020",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",9.42%,12.16%,1.96%,11.90%,4.04B,34.30,-6.60%,1.64B,523.18M,381.16M,3.23,10.70%,1.36B,11.54,200.5M,5.30,61.84,28.98,N/A,N/A,,GRUPO CATALANA OCCIDENTE S.A. (GCO.MC),Financial Services
58,ABG.MC,2.45B,0.41,N/A,N/A,0.13,N/A,1.58,10.24,1.22,-24.70%,11.97%,0.0300,0.0162,0.0209,0.0198,7.04M,4.57M,1.62B,18.24B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Apr 17, 2015",5:1,"Oct 03, 2012","Dec 31, 2018","Sep 30, 2019",56.98%,12.47%,2.89%,N/A,1.56B,0.08,4.40%,820.5M,239.74M,920.17M,0.0470,N/A,359M,0.02,2.22B,N/A,0.68,-0.12,62.13M,524.56M,,ABENGOA S.A. (ABG.MC),Sector
59,ENO.MC,2.52B,10.69,N/A,N/A,0.36,1.64,1.10,10.68,0.43,-21.63%,11.97%,12.50,9.26,10.30,10.40,10.59k,7.44k,84.68M,36.32M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.32,3.30%,0.25,2.61%,2.75,34.55%,N/A,"Dec 09, 2019",2:1,"Sep 15, 2008","Dec 31, 2018","Sep 30, 2019",3.36%,7.31%,N/A,N/A,2.3B,27.14,-5.90%,1.16B,236.02M,77.14M,0.91,6.00%,384.02M,4.54,1.74B,205.12,N/A,5.92,N/A,N/A,,ELECNOR S.A. (ENO.MC),Sector
60,AENA.MC,30.66B,16.30,17.09,2.94,5.27,3.84,6.96,11.35,0.67,-1.71%,11.97%,179.90,149.35,169.11,167.36,193.48k,146.73k,150M,69.9M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.93,4.13%,6.93,4.47%,N/A,73.02%,N/A,"Apr 18, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",32.32%,43.68%,8.03%,24.23%,4.41B,29.37,4.80%,3.61B,2.7B,1.42B,9.49,10.20%,190.88M,1.27,7.07B,117.27,0.45,40.27,2.09B,933.95M,,AENA S.M.E. S.A. (AENA.MC),Sector
61,BIO.MC,69.21M,33.26,N/A,N/A,2.71,2.85,2.82,17.82,1.33,-30.73%,11.97%,1.6400,0.8850,1.2423,1.0467,305.86k,247.61k,57.19M,34.35M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 31, 2018","Jun 30, 2019",8.06%,9.72%,4.59%,8.70%,24.59M,0.43,-16.80%,18.49M,3.88M,1.98M,0.0350,-88.50%,260k,0,4.5M,19.23,2.83,0.41,3.7M,1.46M,,BIOSEARCH S.A. (BIO.MC),Healthcare
62,CAF.MC,1.89B,103.56,N/A,N/A,0.55,1.96,0.74,9.35,0.36,-3.51%,11.97%,44.90,36.45,40.52,40.25,44.51k,42.04k,34.28M,24.68M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.77,1.85%,0.76,1.92%,N/A,193.73%,N/A,"Jul 03, 2019",10:1,"Nov 30, 2016","Dec 31, 2018","Sep 30, 2019",0.53%,6.41%,N/A,N/A,2.55B,74.50,39.10%,1.05B,202.11M,13.46M,0.39,4.80%,681.69M,19.89,1.15B,158.29,N/A,20.77,N/A,N/A,,CONSTRUCCIONES Y AUXILIAR DE FE (CAF.MC),Industrials
63,MAP.MC,4.66B,10.92,7.28,0.91,0.31,0.72,0.22,3.38,1.10,-11.58%,11.97%,2.7490,2.1330,2.3847,2.4559,5.91M,3.83M,3.08B,928.69M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15,6.49%,0.14,6.62%,5.43,73.29%,N/A,"Dec 19, 2019",5:1,"Oct 28, 2006","Dec 31, 2019","Dec 31, 2019",2.83%,5.94%,1.14%,9.90%,21.54B,7.07,-0.60%,6.84B,1.38B,609.24M,0.2000,"243,796.70%",6.16B,2.11,2.97B,29.42,0.60,3.03,-36.64M,5.98B,,MAPFRE S.A. (MAP.MC),Financial Services
64,MRL.MC,11.61B,9.25,18.87,2.32,9.75,0.94,19.27,24.13,0.63,11.95%,11.97%,13.57,11.10,12.86,12.75,802.44k,661.75k,464.69M,484.61M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.5,3.87%,0.50,3.95%,N/A,35.21%,N/A,"Oct 18, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",110.59%,80.69%,2.37%,10.53%,602.43M,1.24,65.10%,600.35M,481.07M,666.24M,1.37,124.20%,211.57M,0.43,5.52B,84.58,1.55,13.38,N/A,N/A,,MERLIN PROPERTIES SOCIMI S.A. (MRL.MC),Real Estate
65,AXIA.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
66,HIS.MC,Consumer Cyclical,MCE,IBEX SMALL CAP.,N/A,MCE,HIS.MC,N/A,MCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S M F ETF I F Y F,
67,NEA.MC,56.68M,6.29,N/A,N/A,0.76,1.22,0.74,5.28,1.17,19.32%,11.97%,5.7800,3.3800,5.1994,4.3697,30.12k,19.63k,12.26M,7.76M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15,3.07%,N/A,N/A,N/A,23.47%,N/A,"Jun 06, 2019",N/A,N/A,"Dec 31, 2018","Jun 30, 2019",12.36%,12.21%,7.07%,21.20%,77.02M,6.17,3.60%,39.21M,10.74M,9.52M,0.7620,19.90%,12.62M,1.01,7.83M,15.82,1.80,3.92,8.75M,3.63M,,NICOLAS CORREA (NEA.MC),Industrials
68,ADZ.MC,83.68M,100.68,N/A,N/A,0.49,1.09,0.74,37.05,0.95,-19.45%,11.97%,8.74,5.62,6.62,6.95,4.14k,4.82k,9.28M,2.6M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jul 28, 2010",N/A,N/A,"Feb 28, 2019","Nov 30, 2019",0.48%,1.13%,0.90%,1.26%,112.68M,12.22,1.20%,62.88M,2.26M,539.47k,0.06,N/A,5.06M,0.55,33.75M,65.92,1.68,5.47,N/A,N/A,,ADOLFO DOMINGUEZ S.A. (ADZ.MC),Sector
69,RLIA.MC,1.45B,12.21,N/A,N/A,7.37,0.68,15.27,21.24,0.51,-14.17%,11.97%,1.0100,0.8400,0.9097,0.9133,130.2k,187.82k,818.8M,237.04M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jun 19, 2008",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",57.74%,71.56%,2.06%,5.98%,94.96M,0.12,-59.70%,79.17M,68.26M,54.83M,0.0700,34.30%,100.84M,0.12,601.65M,47.11,12.74,1.26,N/A,N/A,,REALIA BUSINESS S.A. (RLIA.MC),Real Estate
70,PAC.MC,N/A,MCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S M F ETF I F Y F,
71,TRE.MC,921.39M,34.29,10.75,1.21,0.24,3.18,0.20,13.89,0.97,-12.86%,11.97%,27.24,20.06,22.52,22.66,130.92k,123.72k,53.71M,32.89M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.72,3.53%,N/A,0.00%,N/A,"Jul 11, 2018",60:1,"May 10, 2006","Dec 31, 2018","Sep 30, 2019",0.70%,1.13%,0.80%,8.81%,4.57B,85.07,21.60%,947.75M,66.32M,31.67M,0.60,N/A,799.2M,14.88,584.1M,162.07,1.04,6.45,N/A,N/A,,TECNICAS REUNIDAS S.A. (TRE.MC),Industrials
72,CDR.MC,1.43B,N/A,N/A,N/A,0.22,N/A,1.06,7.72,0.66,-29.99%,11.97%,4.0100,2.4600,2.7323,3.0210,19.45k,31k,118.32M,42.68M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:43,"Nov 17, 2017","Dec 31, 2018","Sep 30, 2019",-2.76%,4.25%,2.35%,-80.81%,1.35B,11.45,-3.60%,1.15B,184.61M,-37.21M,-0.3160,N/A,127.1M,1.08,1.17B,"2,390.18",0.73,-0.32,173.41M,68.95M,,CODERE S.A. (CDR.MC),Consumer Cyclical
73,BBVA.MC,19.01B,10.11,6.27,0.69,1.51,0.37,0.92,N/A,1.29,-9.43%,11.97%,5.6790,4.1870,4.9343,4.7738,22.69M,19.96M,6.67B,3.87B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.26,5.47%,0.26,5.47%,5.06,55.32%,N/A,"Apr 07, 2020",82:83,"Sep 30, 2013","Dec 31, 2019","Dec 31, 2019",16.92%,41.31%,0.63%,8.06%,20.76B,3.12,8.90%,20.76B,N/A,3.09B,0.4650,N/A,118.87B,30.68,113.26B,N/A,N/A,12.57,-8.21B,N/A,,BANCO BILBAO VIZCAYA ARGENTARIA (BBVA.MC),Financial Services
74,TLGO.MC,720.45M,26.15,12.13,28.78,1.93,2.40,1.97,14.49,0.67,-1.19%,11.97%,6.42,4.52,6.00,5.64,202.19k,230.12k,124.31M,76.89M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jun 14, 2017",2:1,"Jun 14, 2017","Dec 31, 2018","Sep 30, 2019",7.72%,11.40%,N/A,N/A,366.68M,2.83,46.50%,245.77M,49.72M,28.31M,0.22,127.40%,322.42M,2.49,286.63M,93.18,N/A,2.37,N/A,N/A,,TALGO S.A. (TLGO.MC),Sector
75,VIS.MC,2.42B,21.34,17.47,6.51,2.76,2.93,2.90,12.71,0.39,-5.47%,11.97%,56.55,40.12,49.55,46.43,80.39k,78.51k,46.5M,37.71M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.6,3.25%,0.95,1.93%,2.74,68.66%,N/A,"Dec 17, 2019",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",12.92%,14.79%,7.36%,14.00%,834.02M,17.94,12.40%,530.98M,190.31M,107.74M,2.32,17.20%,67.93M,1.46,162.64M,20.72,3.34,16.88,N/A,N/A,,VISCOFAN S.A. (VIS.MC),Sector
76,CPL.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
77,ALM.MC,2.62B,25.67,22.30,1.14,2.46,1.63,3.06,12.15,0.21,-21.25%,11.97%,18.50,11.43,14.11,15.43,345.22k,509.93k,174.44M,69.54M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2,1.60%,0.19,1.57%,N/A,42.60%,N/A,"May 15, 2019",1:2,"May 17, 2013","Dec 31, 2018","Sep 30, 2019",9.57%,11.60%,2.52%,6.84%,854.82M,4.90,19.40%,566.47M,215.32M,84.97M,0.47,-14.10%,69.4M,0.4,539.7M,42.13,1.62,7.37,190.31M,-467.95M,,ALMIRALL S.A. (ALM.MC),Healthcare
78,FRS.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
79,SAY.MC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,. T Y,Sitemap
80,MTB.MC,60.19M,N/A,N/A,N/A,5.38,0.53,6.50,-470.20,0.87,12.02%,11.97%,1.9900,1.4000,1.7240,1.6771,58.23k,10.44k,31.6M,6.07M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Oct 16, 2017",41:40,"Nov 15, 2009","Dec 31, 2018","Sep 30, 2019",-3.25%,-1.92%,-0.09%,-0.32%,9.26M,0.30,97.00%,2.87M,-128k,-301k,-0.0100,N/A,4M,0.13,14.94M,15.98,11.82,2.99,N/A,N/A,,MONTEBALITO S.A. (MTB.MC),Real Estate
81,UBS.MC,430.89M,∞,N/A,N/A,42.51,0.78,75.81,99.57,3.09,-13.92%,11.97%,0.0108,0.0064,0.0074,0.0073,14.12M,12.16M,34.52B,4.96B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Jul 03, 1990",N/A,N/A,"Dec 31, 2018","Sep 30, 2019",114.36%,73.61%,0.48%,2.05%,5.68M,0.00,"3,546.00%",4.2M,4.33M,6.5M,0.0000,N/A,4.06M,0,199.41M,62.15,2.49,0.01,N/A,N/A,,URBAS GRUPO FINANCIERO S.A. (UBS.MC),Real Estate
